epoch,lr,train_loss,train_acc,dev_loss,dev_acc,dev_eer,best_dev_eer
1,0.0002,nan,91.81116015132409,nan,89.7440025760747,100.0,1000000000.0
2,0.0002,nan,91.90179697351829,nan,89.7440025760747,100.0,100.0
3,0.0002,nan,89.98660151324086,nan,89.7440025760747,100.0,100.0
4,0.0001,nan,89.8407944514502,nan,89.7440025760747,100.0,100.0
5,0.0001,nan,89.83291298865069,nan,89.7440025760747,100.0,100.0
6,0.0001,nan,89.83291298865069,nan,89.7440025760747,100.0,100.0
7,5e-05,nan,89.83291298865069,nan,89.7440025760747,100.0,100.0
8,5e-05,nan,89.83291298865069,nan,89.7440025760747,100.0,100.0
9,5e-05,nan,89.83291298865069,nan,89.7440025760747,100.0,100.0
1,0.0001,0.1256663923339406,95.09773013871374,0.05184083871924826,98.20077282241185,2.157946684511347,1000000000.0
2,0.0001,0.0242009364687249,99.3143127364439,0.044235437589625864,98.68781194654646,2.5935726199066194,2.157946684511347
3,0.0001,0.008595753121712107,99.7438524590164,0.020585118192646735,99.46063435839639,0.6924037313857397,2.157946684511347
4,0.0001,0.005377236782388521,99.82266708701135,0.02175212204841894,99.2956045725326,1.0102937838213863,0.6924037313857397
5,0.0001,0.004987291318090703,99.83054854981084,0.016104043143879875,99.52906134277895,0.8426584180082565,0.6924037313857397
6,0.0001,0.0029819829202860533,99.91330390920555,0.017650693851043484,99.48881017549509,0.8953602141361637,0.6924037313857397
7,0.0001,0.0028417812196014315,99.87783732660782,0.037160031307237516,99.15472548703912,0.5371041767704846,0.6924037313857397
8,0.0001,0.003344492586846677,99.87783732660782,0.023276017073746894,99.456609241668,0.6010187464900675,0.5371041767704846
9,5e-05,0.0004436833417534733,99.98817780580076,0.014689906769287477,99.68201577845758,0.46421938817756137,0.5371041767704846
10,5e-05,0.00029967860392385125,99.98817780580076,0.012215140698372996,99.76251811302528,0.4687044976142316,0.46421938817756137
11,5e-05,0.0009965510263843479,99.96847414880202,0.02011175348270687,99.57736274351956,0.6413847314200997,0.46421938817756137
12,5e-05,0.0002852878241002198,99.98817780580076,0.023776178764395757,99.56126227660602,0.6038210597644705,0.46421938817756137
13,5e-05,0.0004077052174320245,99.98423707440101,0.16579220203441075,97.08581548864917,0.6828737539563312,0.46421938817756137
14,2.5e-05,0.000230373567578707,99.9921185372005,0.017193502884754852,99.66189019481565,0.4530066145858857,0.46421938817756137
15,2.5e-05,7.189150371604468e-05,100.0,0.018557120374482903,99.62968926098856,0.6212017389550837,0.4530066145858857
16,2.5e-05,0.00019959059190693466,99.9921185372005,0.023334619015020246,99.58541297697633,0.5085107239881959,0.4530066145858857
17,1.25e-05,3.0227455203524113e-05,100.0,0.01633159859885314,99.70214136209951,0.42217060708526183,0.4530066145858857
18,1.25e-05,8.659102164366894e-06,100.0,0.013984730066026166,99.75044276284012,0.40927503733131904,0.42217060708526183
19,1.25e-05,1.6292824805398073e-05,100.0,0.014967174308189425,99.7303171791982,0.3823643807112975,0.40927503733131904
20,6.25e-06,3.057677417882421e-06,100.0,0.016366686559006596,99.69409112864273,0.39133459958463795,0.3823643807112975
21,6.25e-06,4.220690248028198e-06,100.0,0.020400701723934156,99.6216390275318,0.4025473731763136,0.3823643807112975
22,6.25e-06,5.1054150270421516e-05,100.0,0.023604270235387578,99.57333762679119,0.41992805236692676,0.3823643807112975
23,3.125e-06,1.0725318283849602e-05,100.0,0.01885040779215838,99.63371437771696,0.4047899278946488,0.3823643807112975
24,3.125e-06,4.748455644055257e-06,100.0,0.016754344046705928,99.69811624537111,0.42441316180359695,0.3823643807112975
25,3.125e-06,2.7605993301166388e-06,100.0,0.017755813187002735,99.6498148446305,0.4485215051492154,0.3823643807112975
26,1.5625e-06,9.776791675109675e-06,100.0,0.0189384843362606,99.6498148446305,0.4003048184579786,0.3823643807112975
27,1.5625e-06,6.190034079273876e-06,100.0,0.017884358264005112,99.66591531154404,0.41768549764859153,0.3823643807112975
