epoch,lr,train_loss,train_acc,dev_loss,dev_acc,dev_eer,best_dev_eer
1,0.0001,0.2095600472578296,93.33148148148148,0.27454282275582104,90.3973063973064,17.779835390946502,1000000000.0
2,0.0001,0.17771050578576547,94.69999999999999,0.27478207897757995,90.48148148148148,19.575102880658434,17.779835390946502
3,0.0001,0.17015622266575142,94.98518518518519,0.31867196461447606,89.08417508417509,22.11522633744856,17.779835390946502
4,0.0001,0.1643888600954303,95.08333333333333,0.26581689210655746,90.86195286195287,17.167695473251026,17.779835390946502
5,0.0001,0.1615686120920711,95.24259259259259,0.2771108504555273,90.56902356902357,16.113168724279838,17.167695473251026
6,0.0001,0.15845237631930245,95.35740740740741,0.2869504112178559,90.34343434343435,16.608024691358025,16.113168724279838
7,0.0001,0.15701353302929136,95.36851851851851,0.24355556488871638,91.30303030303031,16.165637860082306,16.113168724279838
8,0.0001,0.15561623579925962,95.43703703703704,0.25274374527384275,91.26599326599326,15.925925925925927,16.113168724279838
9,0.0001,0.15415488175771855,95.48703703703704,0.253073533829432,91.3063973063973,16.144032921810698,15.925925925925927
1,0.0001,0.2107859102266806,93.22962962962963,0.29682018832937,89.27609427609427,17.9238683127572,1000000000.0
2,0.0001,0.178620866506188,94.65,0.2564166526023778,91.14478114478113,18.074074074074073,17.9238683127572
3,0.0001,0.17011751039160622,94.96481481481482,0.33567670411362593,88.02356902356902,23.540123456790123,17.9238683127572
4,0.0001,0.1645402206292859,95.12592592592593,0.2569578094553357,90.88888888888889,17.333333333333336,17.9238683127572
5,0.0001,0.16206223978157397,95.22037037037036,0.27046353465039435,90.7070707070707,16.350823045267486,17.333333333333336
6,5e-05,0.15301294600301318,95.52037037037037,0.2463111084438038,91.5050505050505,15.834362139917696,16.350823045267486
7,5e-05,0.15186335508249424,95.50555555555556,0.24354017236634615,91.44107744107744,16.113168724279838,15.834362139917696
8,5e-05,0.15177359751198027,95.57037037037037,0.24589600121150046,91.6060606060606,15.647119341563787,15.834362139917696
9,5e-05,0.15058211427927018,95.58148148148148,0.2447985460441088,91.34343434343435,15.965020576131689,15.647119341563787
10,5e-05,0.14936828780836528,95.61296296296297,0.24387713105658015,91.53535353535354,16.093621399176953,15.647119341563787
11,2.5e-05,0.1469721095142541,95.6888888888889,0.24507270897821387,91.85185185185185,15.625514403292179,15.647119341563787
12,2.5e-05,0.14632315239641402,95.71296296296296,0.24038526285429698,91.73400673400674,15.834362139917696,15.625514403292179
13,2.5e-05,0.14614086731274922,95.72407407407407,0.2522356215308736,91.62289562289563,16.05658436213992,15.625514403292179
14,2.5e-05,0.14583997384265618,95.73888888888888,0.24581332781187104,91.66666666666666,15.847736625514402,15.625514403292179
15,2.5e-05,0.14634426284057123,95.72592592592592,0.24621520150507017,91.66329966329967,15.738683127572017,15.625514403292179
16,1.25e-05,0.1448129236455317,95.76296296296296,0.24665575805503834,91.66329966329967,15.84979423868313,15.625514403292179
17,1.25e-05,0.14429316078291998,95.79444444444445,0.24962414121059687,91.77441077441077,15.647119341563787,15.625514403292179
18,1.25e-05,0.14423134078802885,95.79074074074074,0.24440423887489815,91.74747474747474,15.647119341563787,15.625514403292179
19,6.25e-06,0.14374203634482843,95.80185185185185,0.24589227261919455,91.8080808080808,15.647119341563787,15.625514403292179
20,6.25e-06,0.14418270811990455,95.80925925925926,0.24998041146871666,91.79124579124579,15.699588477366255,15.625514403292179
21,6.25e-06,0.14357327952208343,95.81666666666668,0.24863687844913882,91.81818181818183,15.666666666666668,15.625514403292179
